population,indicator,human development index,civil liberties score ,government effectiveness,world happiness report score,Coll,Col2
Sub-Saharan Africa,South Sudan,0.388,7,-2.48,2.816622496,"rgba(181,158,153","(45, 40, 38)"
Middle East and North Africa,Yemen,0.452,6,-1.92,3.253560066,"rgba(210,117,255","(93, 74, 102)"
Sub-Saharan Africa,Tanzania,0.538,4,-0.63,3.347121239,"rgba(181,158,153","(91, 79, 77)"
Sub-Saharan Africa,Malawi,0.477,3,-0.67,3.416862965,"rgba(181,158,153","(136, 119, 115)"
Sub-Saharan Africa,Zimbabwe,0.535,5,-1.19,3.63830018,"rgba(181,158,153","(181, 158, 153)"
Latin America and Caribbean,Haiti,0.498,5,-2.06,3.823865652,"rgba(122,239,126","(61, 120, 63)"
Middle East and North Africa,Egypt,0.696,6,-0.62,3.929344177,"rgba(210,117,255","(105, 59, 128)"
Sub-Saharan Africa,Zambia,0.588,4,-0.62,3.932777405,"rgba(181,158,153","(196, 177, 173)"
Sub-Saharan Africa,Uganda,0.516,4,-0.58,4.000516891,"rgba(181,158,153","(211, 197, 194)"
South Asia,India,0.64,3,0.09,4.046111107,"rgba(243,200,215","(122, 100, 108)"
Sub-Saharan Africa,Madagascar,0.519,4,-1.14,4.078620434,"rgba(181,158,153","(94, 88, 87)"
Sub-Saharan Africa,Sierra Leone,0.419,3,-1.21,4.089562416,"rgba(181,158,153","(134, 130, 129)"
Middle East and North Africa,Tunisia,0.735,3,-0.07,4.124342918,"rgba(210,117,255","(158, 88, 191)"
Southeast Asia,Myanmar,0.578,5,-1.05,4.154341698,"rgba(253,165,121","(190, 124, 91)"
Sub-Saharan Africa,Ethiopia,0.463,6,-0.7,4.180315495,"rgba(181,158,153","(174, 172, 171)"
Sub-Saharan Africa,Mozambique,0.437,4,-0.89,4.279863358,"rgba(181,158,153","(97, 61, 53)"
South Asia,Bangladesh,0.608,4,-0.74,4.309771061,"rgba(243,200,215","(182, 150, 161)"
Sub-Saharan Africa,Congo (Dem. Rep.),0.457,6,-1.63,4.311033249,"rgba(181,158,153","(145, 91, 79)"
Commonwealth of Independent States,Ukraine,0.751,3,-0.46,4.311067104,"rgba(235,69,170","(176, 52, 128)"
South Asia,Sri Lanka,0.77,4,-0.15,4.330945492,"rgba(243,200,215","(243, 200, 215)"
Sub-Saharan Africa,Togo,0.503,4,-1.13,4.360805035,"rgba(181,158,153","(97, 79, 62)"
Middle East and North Africa,Iraq,0.685,6,-1.27,4.462399006,"rgba(210,117,255","(210, 117, 255)"
Sub-Saharan Africa,Kenya,0.59,4,-0.31,4.475654125,"rgba(181,158,153","(145, 118, 94)"
Sub-Saharan Africa,South Africa,0.699,2,0.28,4.513655186,"rgba(181,158,153","(193, 157, 125)"
Sub-Saharan Africa,Chad,0.404,6,-1.46,4.558937073,"rgba(181,158,153","(206, 177, 151)"
Southeast Asia,Cambodia,0.582,5,-0.66,4.585842133,"rgba(253,165,121","(253, 165, 121)"
Sub-Saharan Africa,Niger,0.354,4,-0.67,4.615673542,"rgba(181,158,153","(218, 196, 177)"
Southeast Asia,Laos,0.601,6,-0.36,4.623140812,"rgba(253,165,121","(253, 183, 148)"
Sub-Saharan Africa,Burkina Faso,0.423,3,-0.59,4.646891117,"rgba(181,158,153","(78, 66, 58)"
Sub-Saharan Africa,Senegal,0.505,2,-0.32,4.683024883,"rgba(181,158,153","(104, 88, 78)"
Middle East and North Africa,Iran,0.798,6,-0.19,4.716783047,"rgba(210,117,255","(219, 145, 255)"
South Asia,Nepal,0.574,4,-0.88,4.736692429,"rgba(243,200,215","(248, 222, 231)"
Sub-Saharan Africa,Mali,0.427,4,-0.94,4.741850376,"rgba(181,158,153","(165, 155, 149)"
Middle East and North Africa,Jordan,0.735,5,0.12,4.808082581,"rgba(210,117,255","(228, 172, 255)"
Sub-Saharan Africa,Benin,0.515,2,-0.64,4.853180885,"rgba(181,158,153","(97, 62, 72)"
Sub-Saharan Africa,Guinea,0.459,5,-1.04,4.873722553,"rgba(181,158,153","(145, 94, 108)"
Sub-Saharan Africa,Cote d'Ivoire,0.794,4,-0.74,5.037734985,"rgba(181,158,153","(193, 125, 144)"
Sub-Saharan Africa,Cameroon,0.556,6,-0.82,5.07405138,"rgba(181,158,153","(78, 58, 60)"
Southeast Asia,Indonesia,0.694,4,0.04,5.098401546,"rgba(253,165,121","(254, 219, 201)"
East Asia,China,0.752,6,0.42,5.099061489,"rgba(255,244,146","(255, 244, 146)"
Central and Eastern Europe,Serbia,0.787,2,0.19,5.122031212,"rgba(83,237,255","(62, 178, 191)"
Western Europe,Greece,0.87,2,0.31,5.14824152,"rgba(139,162,255","(70, 81, 128)"
Commonwealth of Independent States,Azerbaijan,0.757,6,-0.16,5.152279377,"rgba(235,69,170","(235, 69, 170)"
Southeast Asia,Vietnam,0.694,5,0,5.175278664,"rgba(253,165,121","(190, 155, 138)"
Commonwealth of Independent States,Turkmenistan,0.706,7,-1.21,5.229148865,"rgba(235,69,170","(239, 106, 187)"
Middle East and North Africa,Algeria,0.754,5,-0.6,5.248912334,"rgba(210,117,255","(115, 90, 128)"
Middle East and North Africa,Morocco,0.667,5,-0.16,5.312482834,"rgba(210,117,255","(173, 136, 191)"
Sub-Saharan Africa,Nigeria,0.532,5,-0.96,5.321928024,"rgba(181,158,153","(104, 78, 80)"
Sub-Saharan Africa,Ghana,0.592,2,-0.11,5.481310844,"rgba(181,158,153","(135, 113, 115)"
Commonwealth of Independent States,Belarus,0.808,6,-0.35,5.552915096,"rgba(235,69,170","(176, 96, 145)"
Commonwealth of Independent States,Russia,0.816,6,-0.08,5.578742981,"rgba(235,69,170","(235, 128, 193)"
Southeast Asia,Philippines,0.699,3,-0.06,5.594270229,"rgba(253,165,121","(253, 98, 20)"
Latin America and Caribbean,Dominican Republic,0.736,3,-0.35,5.605202675,"rgba(122,239,126","(92, 179, 95)"
Middle East and North Africa,Turkey,0.791,6,0.07,5.607262135,"rgba(210,117,255","(236, 196, 255)"
Commonwealth of Independent States,Kyrgyzstan,0.672,5,-0.71,5.629536629,"rgba(235,69,170","(239, 153, 205)"
Middle East and North Africa,Libya,0.706,6,-1.77,5.646852493,"rgba(210,117,255","(133, 11, 191)"
Latin America and Caribbean,Bolivia,0.693,3,-0.39,5.65055275,"rgba(122,239,126","(122, 239, 126)"
Latin America and Caribbean,Peru,0.75,3,-0.13,5.710936546,"rgba(122,239,126","(175, 245, 178)"
Western Europe,Portugal,0.847,1,1.33,5.711499214,"rgba(139,162,255","(104, 122, 191)"
Commonwealth of Independent States,Tajikistan,0.65,6,-1.12,5.829234123,"rgba(235,69,170","(176, 25, 117)"
South Asia,Pakistan,0.562,5,-0.58,5.830870628,"rgba(243,200,215","(243, 164, 191)"
Latin America and Caribbean,Ecuador,0.752,3,-0.32,5.839518547,"rgba(122,239,126","(91, 120, 92)"
East Asia,Korea (Rep.),0.903,2,1.08,5.873887062,"rgba(255,244,146","(255, 234, 44)"
Commonwealth of Independent States,Kazakhstan,0.8,5,0.01,5.882351398,"rgba(235,69,170","(235, 34, 156)"
East Asia,Japan,0.909,1,1.62,5.910676479,"rgba(255,244,146","(191, 183, 110)"
Southeast Asia,Thailand,0.755,5,0.38,5.938895226,"rgba(253,165,121","(253, 129, 67)"
Latin America and Caribbean,Honduras,0.617,4,-0.51,6.019985676,"rgba(122,239,126","(136, 179, 138)"
Latin America and Caribbean,Argentina,0.825,2,0.16,6.039330006,"rgba(122,239,126","(196, 242, 198)"
Central and Eastern Europe,Hungary,0.838,2,0.51,6.065038681,"rgba(83,237,255","(83, 237, 255)"
Central and Eastern Europe,Romania,0.811,2,-0.17,6.089904785,"rgba(83,237,255","(152, 244, 255)"
Latin America and Caribbean,Colombia,0.843,3,-0.07,6.157341957,"rgba(122,239,126","(13, 120, 17)"
Western Europe,Italy,0.88,1,0.5,6.198870182,"rgba(139,162,255","(139, 162, 255)"
Central and Eastern Europe,Poland,0.865,2,0.63,6.201268196,"rgba(83,237,255","(110, 183, 191)"
Western Europe,Spain,0.891,1,1.03,6.230173111,"rgba(139,162,255","(185, 199, 255)"
Middle East and North Africa,Saudi Arabia,0.853,7,0.25,6.294282436,"rgba(210,117,255","(177, 15, 255)"
Latin America and Caribbean,Chile,0.843,1,0.85,6.320119381,"rgba(122,239,126","(20, 179, 25)"
Latin America and Caribbean,Guatemala,0.65,4,-0.64,6.325118542,"rgba(122,239,126","(26, 239, 34)"
Latin America and Caribbean,Brazil,0.759,2,-0.29,6.332929134,"rgba(122,239,126","(43, 84, 44)"
Latin America and Caribbean,El Salvador,0.674,3,-0.37,6.339318275,"rgba(122,239,126","(96, 188, 99)"
Central and Eastern Europe,Slovakia,0.855,1,0.81,6.365509033,"rgba(83,237,255","(158, 188, 191)"
Southeast Asia,Singapore,0.932,4,2.21,6.378437996,"rgba(253,165,121","(255, 224, 208)"
Latin America and Caribbean,Mexico,0.774,3,-0.03,6.410299301,"rgba(122,239,126","(128, 201, 130)"
Commonwealth of Independent States,Uzbekistan,0.71,7,-0.56,6.421447754,"rgba(235,69,170","(118, 17, 78)"
Latin America and Caribbean,Nicaragua,0.658,4,-0.64,6.476356506,"rgba(122,239,126","(160, 215, 161)"
Western Europe,France,0.901,2,1.35,6.635222435,"rgba(139,162,255","(101, 107, 128)"
Central and Eastern Europe,Czech Republic,0.888,1,1.02,6.789567947,"rgba(83,237,255","(45, 233, 255)"
Western Europe,Belgium,0.916,1,1.18,6.928347588,"rgba(139,162,255","(152, 160, 191)"
North America and ANZ,United States,0.924,1,1.55,6.9917593,"rgba(95,125,250","(95,125,250)"
Middle East and North Africa,United Arab Emirates,0.863,6,1.4,7.039419651,"rgba(210,117,255","(192, 63, 255)"
Western Europe,Germany,0.936,1,1.72,7.074324608,"rgba(139,162,255","(203, 213, 255)"
Western Europe,United Kingdom,0.922,1,1.41,7.103273392,"rgba(139,162,255","(19, 40, 128)"
North America and ANZ,Australia,0.939,1,1.54,7.25703764,"rgba(95,125,250","(127, 151, 251)"
Western Europe,Sweden,0.933,1,1.84,7.286804676,"rgba(139,162,255","(28, 60, 191)"
Western Europe,Austria,0.908,1,1.46,7.293727875,"rgba(139,162,255","(37, 80, 255)"
Middle East and North Africa,Israel,0.903,3,1.39,7.331036091,"rgba(210,117,255","(148, 59, 191)"
Western Europe,Netherlands,0.931,1,1.85,7.458965302,"rgba(139,162,255","(81, 115, 255)"
Western Europe,Switzerland,0.944,1,2.06,7.473593235,"rgba(139,162,255","(124, 150, 255)"
Western Europe,Norway,0.953,1,1.98,7.578744888,"rgba(139,162,255","(168, 185, 255)"
Western Europe,Denmark,0.929,1,1.8,7.593702316,"rgba(139,162,255","(76, 99, 191)"
Western Europe,Finland,0.92,1,1.94,7.788251877,"rgba(139,162,255","(101, 131, 255)"
