Año,mes,dia,Añof,mesf,diaf,incid
2015,1,5,2015,1,11,1306
2015,1,12,2015,1,18,1748
2015,1,19,2015,1,25,1618
2015,1,26,2015,2,1,1775
2015,2,2,2015,2,8,1507
2015,2,9,2015,2,15,1796
2015,2,16,2015,2,22,1588
2015,2,23,2015,3,1,1875
2015,3,2,2015,3,8,1765
2015,3,9,2015,3,15,1799
2015,3,16,2015,3,22,1621
2015,3,23,2015,3,29,1824
2015,3,30,2015,4,5,960
2015,4,6,2015,4,12,1304
2015,4,13,2015,4,19,1711
2015,4,20,2015,4,26,1701
2015,4,27,2015,5,3,1430
2015,5,4,2015,5,10,1610
2015,5,11,2015,5,17,1673
2015,5,18,2015,5,24,1607
2015,5,25,2015,5,31,1658
2015,6,1,2015,6,7,1409
2015,6,8,2015,6,14,1639
2015,6,15,2015,6,21,1657
2015,6,22,2015,6,28,1344
2015,6,29,2015,7,5,1669
2015,7,6,2015,7,12,1477
2015,7,13,2015,7,19,1517
2015,7,20,2015,7,26,1192
2015,7,27,2015,8,2,1423
2015,8,3,2015,8,9,1428
2015,8,10,2015,8,16,1415
2015,8,17,2015,8,23,1495
2015,8,24,2015,8,30,1747
2015,8,31,2015,9,6,1899
2015,9,7,2015,9,13,1740
2015,9,14,2015,9,20,1342
2015,9,21,2015,9,27,1682
2015,9,28,2015,10,4,1772
2015,10,5,2015,10,11,1909
2015,10,12,2015,10,18,1789
2015,10,19,2015,10,25,1743
2015,10,26,2015,11,1,1832
2015,11,2,2015,11,8,1523
2015,11,9,2015,11,15,1753
2015,11,16,2015,11,22,1594
2015,11,23,2015,11,29,1706
2015,11,30,2015,12,6,1816
2015,12,7,2015,12,13,1849
2015,12,14,2015,12,20,1956
2015,12,21,2015,12,27,1318
2015,12,28,2016,1,3,948
2016,1,4,2016,1,10,1360
2016,1,11,2016,1,17,1777
2016,1,18,2016,1,24,1703
2016,1,25,2016,1,31,1639
2016,2,1,2016,2,7,1660
2016,2,8,2016,2,14,1689
2016,2,15,2016,2,21,1868
2016,2,22,2016,2,28,1666
2016,2,29,2016,3,6,1669
2016,3,7,2016,3,13,1726
2016,3,14,2016,3,20,1602
2016,3,21,2016,3,27,833
2016,3,28,2016,4,3,1527
2016,4,4,2016,4,10,1439
2016,4,11,2016,4,17,1334
2016,4,18,2016,4,24,1418
2016,4,25,2016,5,1,1479
2016,5,2,2016,5,8,1232
2016,5,9,2016,5,15,1459
2016,5,16,2016,5,22,1408
2016,5,23,2016,5,29,1546
2016,5,30,2016,6,5,1560
2016,6,6,2016,6,12,1516
2016,6,13,2016,6,19,1376
2016,6,20,2016,6,26,1479
2016,6,27,2016,7,3,1475
2016,7,4,2016,7,10,1666
2016,7,11,2016,7,17,1415
2016,7,18,2016,7,24,1447
2016,7,25,2016,7,31,1489
2016,8,1,2016,8,7,1465
2016,8,8,2016,8,14,1599
2016,8,15,2016,8,21,1689
2016,8,22,2016,8,28,1665
2016,8,29,2016,9,4,1708
2016,9,5,2016,9,11,1691
2016,9,12,2016,9,18,1503
2016,9,19,2016,9,25,1755
2016,9,26,2016,10,2,1815
2016,10,3,2016,10,9,1735
2016,10,10,2016,10,16,1676
