Estacion,Salud,Con,Sin,Aflu,x,y
Balbuena,1.,0.,1.,0.494285,-99.1023,19.4234
Balderas,1.,2.,55.,1.1136384,-99.1487,19.428
Boulevard Puerto Aéreo,0.,1.,1.,0.9663401999999999,-99.0963,19.4193
Candelaria,0.,12.,19.,1.1901331,-99.1199,19.4294
Chapultepec,0.,0.,2.,2.058648,-99.1756,19.4209
Cuauhtémoc,0.,3.,8.,0.8512525000000001,-99.1547,19.4262
Gómez Farías,0.,0.,1.,1.4170036999999998,-99.0906,19.4162
Insurgentes,0.,1.,10.,2.1737013999999997,-99.1633,19.4236
Isabel la Católica,0.,0.,8.,0.8671068999999999,-99.1378,19.4264
Juanacatlán,0.,0.,4.,0.44460999999999995,-99.1818,19.4128
Merced,0.,1.,16.,1.9312283,-99.125,19.4255
Moctezuma,0.,2.,1.,0.8547315,-99.1103,19.4271
Observatorio,0.,0.,3.,2.7732577,-99.2004,19.3983
Pantitlán,4.,33.,83.,12.8758883,-99.0744,19.4151
Pino Suárez,1.,6.,77.,2.2043209,-99.1329,19.4249
Salto del Agua,0.,1.,23.,1.53944,-99.1425,19.4278
San Lázaro,1.,3.,33.,1.7641649999999998,-99.1137,19.4319
Sevilla,0.,0.,7.,1.2539284,-99.1711,19.4221
Tacubaya,0.,14.,66.,3.3692966999999996,-99.1875,19.4022
Zaragoza,0.,2.,2.,1.9093140999999998,-99.0826,19.412
Allende,0.,2.,12.,1.1425326999999998,-99.1369,19.4354
Bellas Artes,0.,3.,38.,2.0105901,-99.141,19.4369
Chabacano,1.,15.,64.,1.5664445999999999,-99.1356,19.4087
Colegio Militar,0.,3.,0.,0.5556209,-99.1717,19.4493
Cuatro Caminos,0.,8.,2.,3.8962862,-99.2159,19.461
Cuitláhuac,0.,0.,0.,0.7010603,-99.1813,19.4573
Ermita,0.,0.,2.,0.9631902999999998,-99.1408,19.3597
General Anaya,1.,0.,1.,1.0649317,-99.1452,19.3534
Hidalgo,2.,3.,77.,1.8195954999999997,-99.1471,19.4372
Nativitas,0.,0.,1.,0.7780388999999999,-99.1431649,19.3774298
Normal,0.,0.,0.,1.3393732999999999,-99.1671,19.4446
Panteones,0.,1.,1.,0.5759782999999999,-99.2027,19.4586
Popotla,0.,0.,1.,0.37660049999999995,-99.1748,19.4525
Portales,0.,0.,0.,0.8090763,-99.1418,19.37
Revolución,1.,1.,6.,1.0450175,-99.1543,19.439
San Antonio Abad,0.,0.,6.,0.8866883,-99.1346,19.4159
San Cosme,0.,3.,4.,0.9417921999999999,-99.1607,19.4419
Tacuba,1.,13.,11.,1.6586291999999998,-99.1882,19.4596
Tasqueña,0.,0.,1.,2.7943776,-99.1395,19.3438
Viaducto,0.,0.,2.,0.7597169,-99.1369,19.401
Villa de Cortés,0.,1.,0.,0.6772031,-99.1392,19.3875
Xola,0.,1.,2.,0.7785715,-99.1381,19.3948
Zócalo,0.,2.,41.,2.6678428,-99.1323,19.4333
Centro Médico,0.,5.,26.,1.3120811,-99.1551,19.4069
Copilco,0.,0.,0.,1.4958148999999998,-99.177,19.3359
Coyoacán,0.,0.,4.,0.8719797999999999,-99.1708,19.3614
Deportivo 18 de Marzo,1.,4.,13.,1.4040651,-99.1256,19.4838
División del Norte,0.,0.,0.,0.7106344,-99.1594,19.3791
Etiopía,0.,0.,2.,1.1055479999999998,-99.1566237,19.395381
Eugenia,0.,0.,0.,0.6721699999999998,-99.1569,19.3861
Guerrero,1.,10.,39.,0.6198406999999999,-99.1457,19.4449
Hospital General,0.,0.,2.,0.8449619999999999,-99.1534,19.4136
Indios Verdes,3.,2.,8.,4.290835599999999,-99.1195,19.4953
Juárez,0.,0.,5.,0.6840124999999999,-99.1479,19.4334
La Raza,0.,5.,4.,1.4721519,-99.1365,19.4696
Miguel Ángel de Quevedo,0.,1.,0.,1.2813160999999997,-99.1807,19.3464
Niños Héroes,0.,0.,7.,0.7009591,-99.1508,19.4157
Potrero,0.,0.,3.,0.6984358999999999,-99.1321,19.4771
Tlatelolco,0.,0.,3.,0.7857136,-99.1432,19.455
Universidad,0.,0.,1.,2.7022575999999994,-99.1727,19.3247
Viveros,0.,0.,0.,0.8495111,-99.1754,19.354
Zapata,0.,2.,8.,1.4405743999999998,-99.1642,19.3714
Bondojito,0.,1.,0.,0.24597809999999998,-99.112,19.4646
Canal del Norte,0.,0.,1.,0.3252661,-99.1161,19.4489
Consulado,0.,5.,2.,0.3389795,-99.1137,19.4562
Fray Servando,0.,0.,1.,0.296435,-99.1205,19.4217
Jamaica,0.,17.,20.,0.7056587999999999,-99.1222,19.4092
Martín Carrera,0.,6.,11.,1.8515788,-99.1072,19.4828
Morelos,0.,18.,3.,0.4249475,-99.1187,19.4391
Santa Anita,1.,0.,1.,0.3236012,-99.1213,19.4041
Talismán,0.,0.,0.,0.2097842,-99.1081,19.4739
Aragón,0.,2.,6.,0.26196559999999997,-99.0962,19.4512
Autobuses del Norte,0.,10.,5.,0.8682344999999999,-99.14,19.4791
Eduardo Molina,0.,3.,0.,0.2558663,-99.1057,19.4514
Hangares,0.,1.,1.,0.180414,-99.0883,19.4244
Instituto del Petróleo,0.,3.,3.,0.3333268,-99.1457,19.4933
Misterios,0.,1.,1.,0.2985039,-99.1304,19.4632
Oceanía,0.,6.,31.,0.6991280999999999,-99.0871,19.4457
Politécnico,0.,3.,1.,1.2038043,-99.1492,19.5007
Terminal Aérea,0.,1.,4.,0.611719,-99.088,19.4341
Valle Gómez,0.,2.,2.,0.16578839999999997,-99.1193,19.4591
Azcapotzalco,0.,2.,0.,0.3058994,-99.1863,19.4909
El Rosario,0.,1.,6.,2.0343288,-99.2004,19.5049
Ferrería,0.,2.,1.,0.8644085,-99.1741,19.4906
La Villa/Basílica,0.,0.,2.,0.5674969,-99.1177,19.4815
Lindavista,0.,7.,1.,0.6429652,-99.1347,19.4879
Norte 45,0.,0.,1.,0.24348779999999995,-99.1625,19.4882
Tezozomoc,0.,1.,1.,0.20311429999999997,-99.1962,19.495
Vallejo,0.,1.,3.,0.30524409999999996,-99.156,19.4898
Aquiles Serdán,0.,1.,1.,0.6057188,-99.1949,19.4902
Auditorio,0.,1.,21.,1.2218504,-99.1919,19.425
Barranca del Muerto,0.,2.,5.,1.4508377999999997,-99.1894,19.3615
Camarones,0.,0.,1.,0.5508611999999999,-99.1897,19.4791
Constituyentes,0.,0.,2.,0.3178801,-99.1914,19.4118
Mixcoac,0.,1.,14.,1.3282979999999998,-99.1873,19.376
Polanco,0.,3.,13.,1.1832706,-99.1916,19.4334
Refinería,1.,1.,1.,0.3841233,-99.1894,19.4691
San Antonio,1.,3.,2.,0.5597160999999999,-99.1869,19.385
San Joaquín,0.,1.,1.,0.9256335999999998,-99.1918,19.445
San Pedro los Pinos,0.,1.,9.,0.5070899,-99.1855,19.3916
Aculco,0.,0.,0.,0.3247038,-99.1078,19.3738
Apatlaco,0.,0.,0.,0.5243455,-99.1093,19.3786
Atlalilco,0.,1.,3.,0.9987469999999998,-99.1012,19.3563
Cerro de la Estrella,0.,1.,0.,0.40220129999999993,-99.0863,19.3561
Constitución de 1917,0.,1.,1.,3.3271713,-99.0642,19.3458
Coyuya,1.,0.,1.,0.7611524999999999,-99.1135,19.3978
Doctores,0.,1.,0.,0.4519391,-99.1431,19.4213
Escuadrón 201,0.,1.,1.,0.8607804,-99.1092,19.3645
Garibaldi,1.,6.,15.,0.9466094999999999,-99.1372,19.4439
Iztacalco,0.,0.,3.,0.7949025,-99.1122,19.3887
Iztapalapa,0.,0.,0.,0.32672419999999996,-99.0933,19.3577
La Viga,0.,0.,0.,0.2575023,-99.1286439,19.4052347
Obrera,0.,2.,0.,0.4743367,-99.1439,19.413
San Juan Letrán,0.,0.,1.,1.1286742,-99.1411,19.4318
UAM/I,0.,0.,1.,0.8796001999999999,-99.0751,19.3511
Chilpancingo,0.,2.,2.,1.6059325999999998,-99.169,19.4058
Ciudad Deportiva,0.,6.,7.,0.2408254,-99.0913,19.4084
Lázaro Cárdenas,0.,4.,9.,0.4574898999999999,-99.1443,19.407
Mixiuhca,0.,1.,4.,0.7009298999999999,-99.1133,19.4084
Patriotismo,0.,2.,5.,0.6549632999999999,-99.1792,19.4063
Puebla,0.,0.,11.,1.1892743,-99.0826,19.4072
Velódromo,0.,4.,4.,0.34019039999999995,-99.1047,19.4089
Calle 11,0.,0.,0.,0.44259849999999995,-99.0858,19.3205
Culhuacán,0.,0.,0.,0.43105199999999994,-99.109,19.3368
Eje Central,0.,0.,0.,0.33310069999999997,-99.1515,19.3616
Hospital 20 de Noviembre,0.,0.,0.,0.41501499999999997,-99.1709,19.372
Insurgentes Sur,0.,0.,6.,1.0534633999999998,-99.1782,19.3735
Lomas Estrella,0.,0.,0.,0.3476299,-99.0957,19.3221
Mexicaltzingo,0.,0.,3.,0.5797272,-99.1223,19.3577
Nopalera,0.,0.,0.,0.588869,-99.0462,19.2999
Olivos,0.,0.,0.,0.4789236,-99.0595,19.3043
Parque de los Venados,0.,0.,0.,0.3609186,-99.1585,19.3706
Periférico Oriente,0.,0.,0.,0.8363997999999999,-99.0747,19.3174
San Andrés Tomatlán,0.,0.,0.,0.33120569999999994,-99.1049,19.328
Tezonco,0.,0.,1.,0.6295460999999999,-99.0654,19.3072
Tláhuac,0.,0.,2.,1.4475540999999998,-99.016408,19.2865191
Tlaltenco,0.,0.,0.,0.08648539999999999,-99.024,19.2943
Zapotitlán,0.,1.,0.,0.4134438,-99.0343,19.2966
Acatitla,0.,4.,1.,0.48327039999999993,-99.0056,19.3647
Agrícola Oriental,0.,0.,3.,0.36264989999999997,-99.0695,19.4046
Canal de San Juan,0.,5.,1.,0.46218849999999995,-99.0593,19.3896
Guelatao,0.,5.,3.,0.6836208,-99.0357,19.3852
La Paz,0.,0.,0.,1.2410668999999999,-98.963052,19.3505534
Los Reyes,0.,2.,1.,0.6646731,-98.9768,19.359
Peñón Viejo,0.,1.,4.,0.4490781999999999,-99.017,19.3733
Santa Marta,0.,1.,3.,0.9326926999999999,-98.9952,19.3595
Tepalcates,0.,6.,1.,0.6241923,-99.0463,19.3912
Bosque de Aragón,0.,3.,8.,0.24960909999999997,-99.0692,19.458
Buenavista,0.,3.,14.,2.142361,-99.1528,19.4465
Ciudad Azteca,0.,0.,6.,2.2574939,-99.0274,19.5346
Deportivo Oceanía,0.,3.,10.,0.5966689999999999,-99.0794,19.4511
Ecatepec,0.,1.,3.,1.0399823,-99.036,19.5152
Impulsora,2.,1.,0.,0.9300528,-99.049,19.4856
Lagunilla,1.,1.,6.,0.9434444,-99.1318,19.4433
Múzquiz,0.,3.,2.,1.1979577,-99.0422,19.5013
Nezahualcóyotl,1.,1.,1.,0.8795581999999998,-99.0546,19.4727
Olímpica,0.,1.,0.,0.6651718999999999,-99.0333,19.5214
Plaza Aragón,1.,0.,1.,0.7516552,-99.0301,19.5285
Ricardo Flores Magón,0.,2.,8.,0.1957061,-99.0971,19.435
Río de los Remedios,0.,1.,4.,0.8406660000000001,-99.0468,19.491
